universeKey,shortCode,name,status,score,grade,provenanceSelected,provenanceBacked,regionEligibility,regionEvidence,sectorEligibility,sectorEvidence,dividendEligibility,dividendEvidence
267440,267440,RISE 미국장기국채선물(H),partial,61,B,10,10,unknown,n/a,unknown,n/a,unknown,n/a
267450,267450,RISE 미국장기국채선물인버스(H),partial,61,B,10,10,unknown,n/a,unknown,n/a,unknown,n/a
267490,267490,RISE 미국장기국채선물레버리지(합성 H),partial,61,B,10,10,unknown,n/a,unknown,n/a,unknown,n/a
267770,267770,TIGER 200선물레버리지,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
269370,269370,TIGER S&P글로벌인프라(합성),partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
269420,269420,KODEX S&P글로벌인프라(합성),partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
269530,269530,PLUS S&P글로벌인프라,partial,61,B,10,10,unknown,n/a,unknown,n/a,unknown,n/a
269540,269540,PLUS 미국S&P500(H),partial,61,B,10,10,unknown,n/a,unknown,n/a,unknown,n/a
270800,270800,RISE KQ고배당,partial,76,A,11,11,unknown,n/a,unknown,n/a,unknown,n/a
270810,270810,RISE 코스닥150,partial,76,A,11,11,unknown,n/a,unknown,n/a,unknown,n/a
271050,271050,KODEX WTI원유선물인버스(H),partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
271060,271060,KODEX 3대농산물선물(H),partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
272560,272560,RISE 단기국공채액티브,partial,61,B,10,10,unknown,n/a,unknown,n/a,unknown,n/a
272570,272570,RISE 중장기국공채액티브,partial,61,B,10,10,unknown,n/a,unknown,n/a,unknown,n/a
272580,272580,TIGER 단기채권액티브,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
272910,272910,ACE 중장기국공채액티브,partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
273130,273130,KODEX 종합채권(AA-이상)액티브,partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
273140,273140,KODEX 단기변동금리부채권액티브,partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
275280,275280,KODEX 모멘텀주,partial,40,C,7,7,unknown,n/a,unknown,n/a,unknown,n/a
275290,275290,KODEX 가치주,partial,40,C,7,7,unknown,n/a,unknown,n/a,unknown,n/a
275300,275300,KODEX 우량주,partial,40,C,7,7,unknown,n/a,unknown,n/a,unknown,n/a
275750,275750,RISE 코스닥150선물인버스,partial,53,C,10,10,unknown,n/a,unknown,n/a,unknown,n/a
275980,275980,TIGER 글로벌4차산업혁신기술(합성 H),partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
276000,276000,TIGER 글로벌자원생산기업(합성 H),partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
276650,276650,RISE 글로벌테크놀로지(합성 H),partial,61,B,10,10,unknown,n/a,unknown,n/a,unknown,n/a
276970,276970,KODEX 미국S&P500배당귀족커버드콜(합성 H),partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
276990,276990,KODEX 글로벌로봇(합성),partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
277540,277540,ACE 아시아TOP50,partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
277630,277630,TIGER 코스피,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
277640,277640,TIGER 코스피대형주,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
277650,277650,TIGER 코스피중형주,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
278240,278240,RISE 코스닥150선물레버리지,partial,76,A,11,11,unknown,n/a,unknown,n/a,unknown,n/a
278530,278530,KODEX 200TR,partial,40,C,7,7,unknown,n/a,unknown,n/a,unknown,n/a
278540,278540,KODEX MSCI Korea TR,partial,40,C,7,7,unknown,n/a,unknown,n/a,unknown,n/a
278620,278620,PLUS 단기채권액티브,partial,61,B,10,10,unknown,n/a,unknown,n/a,unknown,n/a
279530,279530,KODEX 고배당주,partial,40,C,7,7,unknown,n/a,unknown,n/a,unknown,n/a
279540,279540,KODEX 최소변동성,partial,40,C,7,7,unknown,n/a,unknown,n/a,unknown,n/a
280320,280320,ACE 미국IT인터넷(합성 H),partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
280920,280920,PLUS 주도업종,partial,76,A,11,11,unknown,n/a,unknown,n/a,unknown,n/a
280930,280930,KODEX 미국러셀2000(H),partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
280940,280940,KODEX 골드선물인버스(H),partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
281990,281990,RISE 중소형고배당,partial,76,A,11,11,unknown,n/a,unknown,n/a,unknown,n/a
282000,282000,RISE 국고채3년선물인버스,partial,61,B,10,10,unknown,n/a,unknown,n/a,unknown,n/a
283580,283580,KODEX 차이나CSI300,partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
284430,284430,KODEX 200미국채혼합50,partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
284980,284980,RISE 200금융,partial,76,A,11,11,unknown,n/a,unknown,n/a,unknown,n/a
285690,285690,FOCUS ESG리더스,partial,40,C,7,7,unknown,n/a,unknown,n/a,unknown,n/a
287180,287180,PLUS 미국나스닥테크,partial,61,B,10,10,unknown,n/a,unknown,n/a,unknown,n/a
