etfCode,etfName,rank,holdingCode,holdingName,quantity,weightPct,status
278540,KODEX MSCI Korea TR,3,005935,삼성전자우,870,4.00,OK
278540,KODEX MSCI Korea TR,4,402340,SK스퀘어,100,3.02,OK
278540,KODEX MSCI Korea TR,5,009150,삼성전기,61,2.04,OK
278540,KODEX MSCI Korea TR,6,105560,KB금융,384,1.86,OK
278540,KODEX MSCI Korea TR,7,005380,현대차,144,1.66,OK
278540,KODEX MSCI Korea TR,8,055550,신한지주,450,1.27,OK
278540,KODEX MSCI Korea TR,9,086790,하나금융지주,294,1.01,OK
278540,KODEX MSCI Korea TR,10,000270,기아,254,0.95,OK
161510,PLUS 고배당주,1,024110,기업은행,"1,923",5.41,OK
161510,PLUS 고배당주,2,005830,DB손해보험,253,5.35,OK
161510,PLUS 고배당주,3,005940,NH투자증권,"1,283",5.32,OK
161510,PLUS 고배당주,4,316140,우리금융지주,"1,221",5.07,OK
161510,PLUS 고배당주,5,000270,기아,244,4.66,OK
161510,PLUS 고배당주,6,086790,하나금융지주,264,4.66,OK
161510,PLUS 고배당주,7,029780,삼성카드,725,4.61,OK
161510,PLUS 고배당주,8,030000,제일기획,"1,754",4.38,OK
161510,PLUS 고배당주,9,016360,삼성증권,288,4.17,OK
161510,PLUS 고배당주,10,030200,KT,576,4.04,OK
486290,TIGER 미국나스닥100타겟데일리커버드콜,,,,,,EMPTY_NO_TABLE
385540,RISE 종합채권(A-이상)액티브,,,,,,EMPTY_NO_TABLE
284430,KODEX 200미국채혼합50,1,069500,KODEX 200,"3,411",-,OK
284430,KODEX 200미국채혼합50,2,005930,삼성전자,578,-,OK
284430,KODEX 200미국채혼합50,3,000660,SK하이닉스,69,-,OK
284430,KODEX 200미국채혼합50,4,402340,SK스퀘어,11,-,OK
284430,KODEX 200미국채혼합50,5,009150,삼성전기,7,-,OK
284430,KODEX 200미국채혼합50,6,005380,현대차,17,-,OK
284430,KODEX 200미국채혼합50,7,105560,KB금융,38,-,OK
284430,KODEX 200미국채혼합50,8,055550,신한지주,51,-,OK
284430,KODEX 200미국채혼합50,9,000270,기아,30,-,OK
284430,KODEX 200미국채혼합50,10,028260,삼성물산,12,-,OK
472150,TIGER 배당커버드콜액티브,1,000660,SK하이닉스,28,24.52,OK
472150,TIGER 배당커버드콜액티브,2,005930,삼성전자,191,23.07,OK
