etfCode,name,codeType,issuer,benchmarkName,detailScope,readinessScore,grade,assetClassEvidence,regionEvidence,sectorEvidence,strategyEvidence,dividendEvidence,holdingsCount,tagCount,hasLlmContribution,missingFields
463680,KODEX 미국S&P500테크놀로지,krx_numeric,삼성자산운용,S&P Technology Select Sector Index(Price Return),thin,25,D,low,low,low,low,none,0,4,false,상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력
463690,KODEX 미국S&P500커뮤니케이션,krx_numeric,삼성자산운용,S&P Communication Services Select Sector Index(Price Return),thin,25,D,low,low,low,low,none,0,4,false,상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력
464240,KIWOOM 26-09회사채(AA-이상)액티브,krx_numeric,키움투자자산운용,KIS 2609 만기형 크레딧 종합채권 지수(AA-이상)(총수익지수),thin,25,D,low,low,low,low,none,0,5,false,상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력
464310,TIGER 글로벌AI&로보틱스 INDXX,krx_numeric,미래에셋자산운용,Indxx Global Robotics & Artificial Intelligence Thematic Index(PR),enriched,68,B,medium,low,medium,medium,low,61,3,false,산업·국가 비중|실제 분배금 이력
464470,PLUS 미국채30년액티브,krx_numeric,한화자산운용,ICE U.S. Treasury 20+ Year Bond Index(Total Return),enriched,65,B,medium,low,low,medium,high,0,4,false,구성종목|산업·국가 비중
464600,SOL 자동차소부장Fn,krx_numeric,신한자산운용,FnGuide 자동차소부장지수(PR),enriched,68,B,medium,low,medium,medium,low,10,4,true,산업·국가 비중|실제 분배금 이력
464610,SOL 의료기기소부장Fn,krx_numeric,신한자산운용,FnGuide 의료기기소부장지수(PR),enriched,68,B,medium,low,medium,medium,low,10,4,true,산업·국가 비중|실제 분배금 이력
464920,PLUS 일본반도체소부장,krx_numeric,한화자산운용,Solactive Japan Semiconductor Materials and Equipment Index PR,enriched,61,B,medium,low,low,medium,high,0,3,false,구성종목|산업·국가 비중
464930,TIGER 글로벌혁신블루칩TOP10,krx_numeric,미래에셋자산운용,Mirae Asset Global Innovative Bluechip Top 10 Index(PR),enriched,68,B,medium,low,medium,medium,low,11,3,false,산업·국가 비중|실제 분배금 이력
465330,RISE 2차전지TOP10,krx_numeric,KB자산운용,iSelect 2차전지 TOP10 지수(PR),enriched,76,A,medium,low,medium,medium,high,10,4,true,산업·국가 비중
